CDU_ID,GEO_CODE,GEO_LABEL,Deprivation,Households_not_deprived,Total_methods_travel ,Work_from_home,Public_transport,Car_or_van,Other_travel
10406,E02000488,Havering 025,2967,1287,3786,263,1475,1626,422
10407,E02000489,Havering 026,3155,1165,3774,259,1540,1587,388
10408,E02000490,Havering 027,3169,1085,3615,227,1235,1797,356
10409,E02000491,Havering 028,3603,1138,3864,268,1164,1963,469
10410,E02000492,Havering 029,2524,943,3020,222,833,1644,321
10411,E02000493,Havering 030,2471,857,2911,193,983,1393,342
10412,E02000494,Hillingdon 001,3115,1704,3645,618,1119,1611,297
10413,E02000495,Hillingdon 002,4141,1947,4785,549,1741,2043,452
10414,E02000496,Hillingdon 003,3008,1272,3747,511,475,2237,524
10415,E02000497,Hillingdon 004,3440,1650,4214,429,1336,2067,382
10416,E02000498,Hillingdon 005,2561,1187,3026,300,667,1738,321
10417,E02000499,Hillingdon 006,3001,1563,3874,401,1325,1782,366
10418,E02000500,Hillingdon 007,3093,1648,4032,475,1205,1968,384
10419,E02000501,Hillingdon 008,3163,1593,4261,406,1310,2130,415
10420,E02000502,Hillingdon 009,3097,1605,4060,361,1369,1883,447
10421,E02000503,Hillingdon 010,3235,1708,5107,384,1451,2429,843
10422,E02000504,Hillingdon 011,2891,1561,3614,389,829,2045,351
10423,E02000506,Hillingdon 013,2725,1421,3819,499,771,2133,416
10424,E02000507,Hillingdon 014,2756,1252,4019,296,895,2367,461
10425,E02000508,Hillingdon 015,3075,1306,4082,384,1156,1745,797
10426,E02000509,Hillingdon 016,3112,1231,4185,318,1230,1668,969
10427,E02000510,Hillingdon 017,3196,1337,4213,365,940,2218,690
10428,E02000511,Hillingdon 018,3211,1224,4534,321,1009,2746,458
10429,E02000512,Hillingdon 019,2968,937,3591,260,954,1911,466
10430,E02000513,Hillingdon 020,3234,935,3793,276,1111,2019,387
10431,E02000514,Hillingdon 021,3044,891,4452,305,1344,2348,455
10432,E02000515,Hillingdon 022,4303,1402,5084,352,1306,2561,865
10433,E02000516,Hillingdon 023,2764,998,3839,271,1005,2137,426
10434,E02000517,Hillingdon 024,2917,863,3687,239,1114,1923,411
10435,E02000518,Hillingdon 025,3099,976,3923,279,917,2055,672
10436,E02000519,Hillingdon 026,2890,744,3697,242,1196,1788,471
10437,E02000520,Hillingdon 027,3645,1015,4896,381,1685,2227,603
10438,E02000521,Hillingdon 028,3397,966,4386,312,1265,2300,509
10439,E02000522,Hillingdon 029,3269,1170,4019,308,1132,2041,538
10440,E02000523,Hillingdon 030,2939,894,4408,292,1572,2097,447
10441,E02000524,Hillingdon 031,2462,862,3448,284,1138,1606,420
10442,E02000525,Hillingdon 032,3142,894,4236,291,1792,1714,439
10443,E02000526,Hounslow 001,3536,2058,4807,774,2324,836,873
10444,E02000528,Hounslow 003,4770,1639,5237,486,2302,1547,902
10445,E02000529,Hounslow 004,2776,824,3813,272,1229,1882,430
10446,E02000530,Hounslow 005,2314,468,2586,169,906,1242,269
10447,E02000531,Hounslow 006,4269,1776,5555,585,2363,1621,986
10448,E02000532,Hounslow 007,4001,2142,4844,745,1986,1194,919
10449,E02000533,Hounslow 008,3835,2137,4744,710,1995,1174,865
10450,E02000534,Hounslow 009,2917,1346,4429,453,1534,1842,600
10451,E02000535,Hounslow 010,2852,876,4479,332,1544,2174,429
10452,E02000536,Hounslow 011,2925,994,4380,348,1617,1896,519
10453,E02000537,Hounslow 012,2841,1157,4567,382,2276,1468,441
10454,E02000538,Hounslow 013,2648,708,4112,272,1530,1836,474
10455,E02000539,Hounslow 014,4299,1843,5673,509,2217,1977,970
10456,E02000540,Hounslow 015,3564,1288,4761,464,2245,1397,655
10457,E02000541,Hounslow 016,2846,648,4155,297,1957,1447,454
10458,E02000542,Hounslow 017,3166,798,4561,323,2339,1389,510
10459,E02000543,Hounslow 018,4170,1264,6214,469,3374,1672,699
10460,E02000544,Hounslow 019,2793,1145,4213,343,1387,1898,585
10461,E02000545,Hounslow 020,3299,1303,3980,384,1336,1505,755
10462,E02000546,Hounslow 021,3018,888,4618,372,1859,1805,582
10463,E02000547,Hounslow 022,3547,1168,4658,300,1435,2245,678
10464,E02000548,Hounslow 023,3539,1075,4407,262,1182,2327,636
10465,E02000549,Hounslow 024,3937,1391,5429,400,1634,2640,755
10466,E02000550,Hounslow 025,3840,1260,5050,306,1808,2188,748
10467,E02000551,Hounslow 026,3294,879,3747,247,1188,1773,539
10468,E02000552,Hounslow 027,3266,1309,4371,296,1083,2437,555
10469,E02000553,Hounslow 028,2605,1018,3209,228,750,1772,459
10470,E02000554,Islington 001,4226,1370,4260,377,2461,531,891
10471,E02000555,Islington 002,3986,1559,4771,506,2793,580,892
10472,E02000556,Islington 003,4561,1662,5522,512,3396,518,1096
10473,E02000557,Islington 004,3929,1333,4249,433,2519,446,851
10474,E02000558,Islington 005,3780,893,3494,293,2110,371,720
